iter	Passed	Remaining
0	160	160489
1	163	81365
2	165	54862
3	167	41748
4	171	34190
5	174	28958
6	176	25070
7	177	22053
8	179	19752
9	181	17930
10	182	16430
11	184	15157
12	186	14158
13	188	13280
14	189	12458
15	191	11759
16	192	11144
17	194	10589
18	195	10092
19	196	9633
20	197	9229
21	199	8890
22	201	8559
23	202	8234
24	203	7928
25	204	7660
26	205	7414
27	207	7188
28	208	6974
29	209	6762
30	209	6560
31	210	6373
32	211	6201
33	212	6045
34	213	5890
35	214	5748
36	215	5620
37	217	5498
38	218	5384
39	219	5279
40	221	5174
41	222	5078
42	223	4977
43	224	4878
44	225	4785
45	226	4698
46	227	4615
47	228	4535
48	229	4460
49	230	4385
50	231	4313
51	232	4240
52	233	4172
53	234	4107
54	235	4045
55	236	3984
56	237	3925
57	238	3868
58	239	3812
59	239	3758
60	240	3707
61	241	3657
62	242	3608
63	243	3560
64	244	3513
65	245	3467
66	245	3424
67	246	3384
68	247	3345
69	248	3307
70	250	3271
71	250	3231
72	251	3195
73	252	3158
74	253	3123
75	254	3088
76	254	3055
77	255	3023
78	256	2992
79	257	2960
80	258	2930
81	259	2900
82	259	2868
83	260	2840
84	261	2813
85	262	2787
86	263	2761
87	263	2735
88	264	2710
89	265	2686
90	266	2661
91	267	2637
92	267	2613
93	268	2590
94	269	2567
95	270	2545
96	271	2523
97	271	2501
98	272	2480
99	273	2459
100	274	2439
101	274	2419
102	275	2399
103	276	2379
104	276	2361
105	277	2343
106	278	2326
107	279	2309
108	280	2292
109	281	2275
110	282	2258
111	282	2242
112	283	2226
113	284	2209
114	285	2194
115	285	2178
116	286	2161
117	287	2146
118	287	2132
119	288	2117
120	289	2102
121	290	2087
122	290	2073
123	291	2060
124	292	2048
125	293	2035
126	294	2022
127	294	2009
128	295	1996
129	296	1984
130	297	1971
131	297	1959
132	298	1946
133	299	1934
134	300	1923
135	300	1911
136	301	1899
137	302	1888
138	303	1877
139	303	1866
140	304	1855
141	305	1843
142	305	1832
143	306	1822
144	307	1812
145	308	1804
146	309	1795
147	310	1787
148	311	1778
149	312	1768
150	312	1759
151	313	1750
152	314	1741
153	315	1731
154	316	1722
155	316	1714
156	317	1704
157	318	1696
158	319	1687
159	319	1678
160	320	1668
161	320	1660
162	321	1651
163	322	1643
164	323	1635
165	324	1627
166	324	1619
167	325	1611
168	326	1604
169	326	1596
170	327	1588
171	328	1581
172	329	1574
173	330	1566
174	330	1559
175	331	1552
176	332	1545
177	333	1538
178	333	1531
179	334	1524
180	335	1517
181	336	1510
182	336	1503
183	337	1497
184	338	1490
185	339	1484
186	340	1478
187	340	1472
188	341	1466
189	342	1459
190	343	1453
191	343	1447
192	344	1441
193	345	1435
194	346	1430
195	347	1424
196	347	1418
197	348	1412
198	349	1406
199	350	1400
200	350	1394
201	351	1388
202	352	1382
203	352	1377
204	353	1371
205	354	1365
206	355	1360
207	355	1354
208	356	1349
209	357	1343
210	357	1338
211	358	1332
212	359	1327
213	360	1323
214	361	1318
215	361	1313
216	362	1307
217	363	1302
218	363	1297
219	364	1292
220	365	1287
221	365	1282
222	366	1277
223	367	1272
224	368	1267
225	368	1263
226	369	1258
227	370	1253
228	370	1248
229	371	1244
230	372	1239
231	373	1235
232	373	1230
233	374	1226
234	375	1222
235	376	1218
236	377	1214
237	377	1209
238	378	1205
239	379	1201
240	380	1197
241	380	1193
242	381	1189
243	382	1185
244	383	1181
245	384	1177
246	384	1173
247	385	1169
248	386	1164
249	386	1160
250	387	1157
251	388	1154
252	389	1150
253	390	1146
254	391	1142
255	392	1139
256	392	1135
257	393	1131
258	394	1128
259	395	1124
260	395	1120
261	396	1117
262	397	1113
263	398	1109
264	398	1105
265	399	1102
266	400	1098
